DB_ID	_displayName	_class	Level	name_rank	hasEvent	hasEvent_rank	hasEvent_class	HasEvent_name
162582	Signal Transduction	Pathway	1	0	177929	0	Pathway	Signaling by EGFR
162582	Signal Transduction	Pathway	1	0	190236	1	Pathway	Signaling by FGFR
162582	Signal Transduction	Pathway	1	0	74752	2	Pathway	Signaling by Insulin receptor
162582	Signal Transduction	Pathway	1	0	166520	3	Pathway	Signalling by NGF
162582	Signal Transduction	Pathway	1	0	186797	4	Pathway	Signaling by PDGF
162582	Signal Transduction	Pathway	1	0	1433557	6	Pathway	Signaling by SCF-KIT
162582	Signal Transduction	Pathway	1	0	1227986	7	Pathway	Signaling by ERBB2
162582	Signal Transduction	Pathway	1	0	1236394	8	Pathway	Signaling by ERBB4
162582	Signal Transduction	Pathway	1	0	1257604	10	Pathway	PIP3 activates AKT signaling
162582	Signal Transduction	Pathway	1	0	372790	16	Pathway	Signaling by GPCR
162582	Signal Transduction	Pathway	1	0	2028269	18	Pathway	Signaling by Hippo
162582	Signal Transduction	Pathway	1	0	2404192	19	Pathway	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
162582	Signal Transduction	Pathway	1	0	2187338	21	Pathway	Visual phototransduction
162582	Signal Transduction	Pathway	1	0	2586552	22	Pathway	Signaling by Leptin
74752	Signaling by Insulin receptor	Pathway	2	0	74751	2	Pathway	Insulin receptor signalling cascade
166520	Signalling by NGF	Pathway	2	0	167060	0	Pathway	NGF processing
166520	Signalling by NGF	Pathway	2	0	193704	1	Pathway	p75 NTR receptor-mediated signalling
166520	Signalling by NGF	Pathway	2	0	187037	2	Pathway	NGF signalling via TRKA from the plasma membrane
177929	Signaling by EGFR	Pathway	2	0	180292	8	Pathway	GAB1 signalosome
186797	Signaling by PDGF	Pathway	2	0	186763	9	Pathway	Downstream signal transduction
190236	Signaling by FGFR	Pathway	2	0	190333	1	Pathway	Downstream signaling of activated FGFR
372790	Signaling by GPCR	Pathway	2	0	500792	0	Pathway	GPCR ligand binding
372790	Signaling by GPCR	Pathway	2	0	388396	1	Pathway	GPCR downstream signaling
372790	Signaling by GPCR	Pathway	2	0	881907	3	Pathway	Gastrin-CREB signalling pathway via PKC and MAPK
1227986	Signaling by ERBB2	Pathway	2	0	1963642	7	Pathway	PI3K events in ERBB2 signaling
1236394	Signaling by ERBB4	Pathway	2	0	1250342	6	Pathway	PI3K events in ERBB4 signaling
1236394	Signaling by ERBB4	Pathway	2	0	1251985	7	Pathway	Nuclear signaling by ERBB4
1257604	PIP3 activates AKT signaling	Pathway	2	0	198323	6	Pathway	AKT phosphorylates targets in the cytosol
1433557	Signaling by SCF-KIT	Pathway	2	0	1257604	7	Pathway	PIP3 activates AKT signaling
2187338	Visual phototransduction	Pathway	2	0	975634	0	Pathway	Retinoid metabolism and transport
2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	Pathway	2	0	2428924	2	Pathway	IGF1R signaling cascade
74751	Insulin receptor signalling cascade	Pathway	3	0	77389	1	Pathway	IRS-related events
180292	GAB1 signalosome	Pathway	3	0	1257604	5	Pathway	PIP3 activates AKT signaling
186763	Downstream signal transduction	Pathway	3	0	1257604	2	Pathway	PIP3 activates AKT signaling
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	187015	0	Pathway	Activation of TRKA receptors
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	187687	1	Pathway	Signalling to ERKs
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	167021	2	Pathway	PLC-gamma1 signalling
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	198203	3	Pathway	PI3K/AKT activation
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	198745	4	Pathway	Signalling to STAT3
187037	NGF signalling via TRKA from the plasma membrane	Pathway	3	0	177504	6	Pathway	Retrograde neurotrophin signalling
190333	Downstream signaling of activated FGFR	Pathway	3	0	190926	3	Pathway	PI-3K cascade
193704	p75 NTR receptor-mediated signalling	Pathway	3	0	204998	1	Pathway	Cell death signalling via NRAGE, NRIF and NADE
388396	GPCR downstream signaling	Pathway	3	0	418555	0	Pathway	G alpha (s) signalling events
388396	GPCR downstream signaling	Pathway	3	0	418594	1	Pathway	G alpha (i) signalling events
388396	GPCR downstream signaling	Pathway	3	0	416476	3	Pathway	G alpha (q) signalling events
500792	GPCR ligand binding	Pathway	3	0	373076	0	Pathway	Class A/1 (Rhodopsin-like receptors)
500792	GPCR ligand binding	Pathway	3	0	373080	1	Pathway	Class B/2 (Secretin family receptors)
500792	GPCR ligand binding	Pathway	3	0	420499	2	Pathway	Class C/3 (Metabotropic glutamate/pheromone receptors)
881907	Gastrin-CREB signalling pathway via PKC and MAPK	Pathway	3	0	416476	1	Pathway	G alpha (q) signalling events
1250342	PI3K events in ERBB4 signaling	Pathway	3	0	1257604	3	Pathway	PIP3 activates AKT signaling
1257604	PIP3 activates AKT signaling	Pathway	3	0	198323	6	Pathway	AKT phosphorylates targets in the cytosol
1963642	PI3K events in ERBB2 signaling	Pathway	3	0	1257604	10	Pathway	PIP3 activates AKT signaling
2428924	IGF1R signaling cascade	Pathway	3	0	2428928	1	Pathway	IRS-related events triggered by IGF1R
77389	IRS-related events	Pathway	4	0	112399	1	Pathway	IRS-mediated signalling
187015	Activation of TRKA receptors	Pathway	4	0	187042	0	Pathway	TRKA activation by NGF
187687	Signalling to ERKs	Pathway	4	0	167044	0	Pathway	Signalling to RAS
187687	Signalling to ERKs	Pathway	4	0	187706	1	Pathway	Signalling to p38 via RIT and RIN
187687	Signalling to ERKs	Pathway	4	0	169893	2	Pathway	Prolonged ERK activation events
190926	PI-3K cascade	Pathway	4	0	1257604	7	Pathway	PIP3 activates AKT signaling
198203	PI3K/AKT activation	Pathway	4	0	1257604	5	Pathway	PIP3 activates AKT signaling
204998	Cell death signalling via NRAGE, NRIF and NADE	Pathway	4	0	193648	0	Pathway	NRAGE signals death through JNK
204998	Cell death signalling via NRAGE, NRIF and NADE	Pathway	4	0	205025	2	Pathway	NADE modulates death signalling
373076	Class A/1 (Rhodopsin-like receptors)	Pathway	4	0	375276	0	Pathway	Peptide ligand-binding receptors
373076	Class A/1 (Rhodopsin-like receptors)	Pathway	4	0	375280	1	Pathway	Amine ligand-binding receptors
373076	Class A/1 (Rhodopsin-like receptors)	Pathway	4	0	419771	10	Pathway	Opsins
373080	Class B/2 (Secretin family receptors)	Pathway	4	0	419812	0	Pathway	Calcitonin-like ligand receptors
1257604	PIP3 activates AKT signaling	Pathway	4	0	198323	6	Pathway	AKT phosphorylates targets in the cytosol
2428928	IRS-related events triggered by IGF1R	Pathway	4	0	112399	3	Pathway	IRS-mediated signalling
112399	IRS-mediated signalling	Pathway	5	0	109704	0	Pathway	PI3K Cascade
169893	Prolonged ERK activation events	Pathway	5	0	170968	0	Pathway	Frs2-mediated activation
169893	Prolonged ERK activation events	Pathway	5	0	170984	1	Pathway	ARMS-mediated activation
375280	Amine ligand-binding receptors	Pathway	5	0	390696	1	Pathway	Adrenoceptors
375280	Amine ligand-binding receptors	Pathway	5	0	390651	2	Pathway	Dopamine receptors
1257604	PIP3 activates AKT signaling	Pathway	5	0	198323	6	Pathway	AKT phosphorylates targets in the cytosol
109704	PI3K Cascade	Pathway	6	0	109703	2	Pathway	PKB-mediated events
